Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
The Family Madrigal;Encanto (Original Motion Picture Soundtrack);Stephanie Beatriz;11/19/2021;USWD12112911;2,698;217,919,853;22,687;11,527,473;63;351,386,257;1,758,940;189,071;135,800,782;1,067,404,078;117,035,357;19;9;;;;;;
Hasta Abajo;Hasta Abajo;KEVIN ROLDAN;7/26/2019;USUM71913434;2,702;380,367,132;62,939;11,576,619;64;663,705,750;3,083,081;542,284;65,038,406;495,501,340;109,211,682;27;1;;;;;;
Flawlï¿½ï¿½ss (feat. Lil Uzi V;Lyfï¿;Yeat;9/9/22;USUM72217061;2,701;233,573,513;67,981;8,674,549;69;39,331,190;479,798;34,666;20,275,957;122,612,542;185,705,404;12;4;;;;;;
Praise Jah in the Moonlight;Praise Jah in the Moonlight - Single;Uzii BigTalk;12/25/2023;TCAHS2392343;2,694;;121;660;;;;;7,381,338;94,798,200;;;;;;;;;
Bon appï¿½ï¿;Bon Appï¿½ï¿;Katy Perry;4/28/2017;USUM71702488;2,7;280,898,252;32,458;9,112,382;60;1,396,756,746;8,674,599;17,923;11,896,504;137,526,328;201,528,139;47;11;;;;;;
I'm the One;EPIC AF;DJ Khaled;1/1/17;USSM11703300;2,704;1,257,029,279;122,763;29,582,588;67;77,475,141;982,093;475,433;16,501,624;134,170,742;1,488,303;143;44;6,332,764;;;;;
Stay With Me;Candy Baby;1nonly;7/30/2020;TCAFE2016912;2,693;398,942,581;99,939;11,061,124;68;231,553,878;3,275,110;799,566;111,636,857;1,054,813,567;526,856;3;;;;;;;
Typa Girl;BORN PINK;BLACKPINK;9/16/2022;KRA402200021;2,697;357,054,107;20,864;10,226,449;66;199,710,937;2,549,362;225;94,313,386;790,229,870;117,807,648;5;7;1,604,862;;;;;
Ayy Macarena;Ayy Macarena;Tyga;11/13/2019;USQX91903309;2,703;417,311,779;106,485;11,727,622;61;325,105,642;5,043,313;475,505;94,185,459;1,001,763,796;40,073,954;59;3;;;;;;
ELA PIROU NA DODGE RAM;ELA PIROU NA DODGE RAM - Single;Luan Pereira;3/17/2023;BCX5C2300005;2,692;149,455,007;13,028;12,083,352;17;185,077,693;990,325;101,8;22,395,889;272,723,903;325,427,233;2;9;1,027,748;;;;;
Like What (Freestyle);Like What (Freestyle);Cardi B;3/1/24;USAT22401675;2,696;23,475,715;2,809;14,222,754;;21,710,598;476,67;;3,270,800;27,373,700;648,487;21;31;1,046,901;;;;;
Party In The U.S.A.;The Time Of Our Lives (International Version);Miley Cyrus;1/1/09;USHR10924519;2,695;1,587,114,096;210,519;147,125,974;76;993,529,828;4,526,606;428,033;49,702,880;338,781,002;292,478,893;185;33;;;;;;
Wet Dreamz;2014 Forest Hills Drive;J. Cole;12/9/14;USQX91402592;2,724;1,244,864,869;247,57;43,778,928;76;280,151,086;2,326,991;17,325;7,247,082;49,460,597;19,721,123;18;12;;;;;;
Dhani Ho Sab Dhan;Dhani Ho Sab Dhan;Pawan Singh;1/31/2023;INS7A2352922;2,709;1,332,230;592;95,57;;307,838,128;1,528,273;4,972;162,043;2,278,729;;;;;;;;;
Next Level;Next Level;aespa;5/17/2021;KRA302100169;2,715;245,384,123;26,925;9,940,497;68;514,192,282;6,129,641;94,211;98,935,007;693,149,332;171,506,164;41;33;;;;;;
Whiskey Glasses;The Way I Talk;Morgan Wallen;7/29/2016;QZ22S1500059;2,712;806,728,296;86,002;17,665,355;75;429,423,484;1,944,017;80,672;7,719,684;74,890,093;561,554,996;39;21;;;;;;
Bado Badi;Bado Badi;Chahat Fateh Ali Khan;4/23/2024;GX5PW2400002;2,708;901,007;18;713;;31,008,582;437,421;;;;;;;;;;;;
Esta Vida;Esta Vida - Single;Marshmello;4/13/2023;USSD12300013;2,719;94,359,848;23,027;26,530,704;61;66,093,104;558,819;52,6;645,712;13,515,544;112,544,154;37;17;;;;;;
Dusk Till Dawn - Radio Edit;Dusk Till Dawn (Radio Edit);ZAYN;9/7/17;USRC11702155;2,71;1,687,683,940;177,653;44,326,008;75;2,784,613;49,443;;;;;117;10;;;;;;
Shotta Flow [Remix];Shotta Flow (feat. Blueface) [Remix];NLE Choppa;6/20/2019;QZ85M1951467;2,72;496,344,788;114,433;11,312,277;21;476,656,319;5,123,098;12,478;3,903,832;31,236,119;214,191,265;5;;;;;;;
Bolide allemand;Liens du 100;SDM;12/1/22;FRUM72202503;2,711;152,546,936;33,014;4,883,069;68;129,655,800;510,676;97,575;4,800,473;54,647,905;87,631,959;32;12;;;;;;
Amor Tumbado;Mi Nuevo Yo;Natanael Cano;12/24/2019;USDXS1911811;2,706;413,743,535;39,98;7,003,058;73;420,669,522;2,712,590;143,494;22,305,613;152,431,204;15,959,347;19;15;25,393,281;;;;;
New Gold (feat. Tame Impala and Bootie Brown);New Gold (feat. Tame Impala and Bootie Brown);Gorillaz;8/31/2022;GBAYE2200462;2,723;155,399,041;62,013;13,710,934;60;32,481,842;684,033;21,669;11,544,855;135,832,597;1,424,027;26;32;;;;;;
MANIAC;The 4th Mini Album 'VERSUS';VIVIZ;11/2/23;KRA382321414;2,718;77,590,300;6,575;6,127,218;;94,172,195;738,147;3,247;22,942,690;170,046,435;572,720,093;7;;;;;;;
Don't Mind;EPIC AF;Kent Jones;1/1/16;USSM11603011;2,725;416,147,244;59,1;10,161,185;59;179,143,462;1,567,574;6,149,383;38,201,187;188,910,778;51,485,355;72;2;;;;;;
Dientes;Dientes;J Balvin;9/15/2023;QZM5U2300388;2,721;38,622,215;13,808;12,799,845;4;16,445,144;247,7;1,894;2,705,205;59,118,842;100,931,285;29;17;;;;;;
Look Alive (feat. Drake);Look Alive (feat. Drake);BlocBoy JB;2/9/18;USWB11800211;2,717;982,424,606;140,455;29,753,134;63;123,104,265;916,112;212,758;13,785,747;172,191,863;1,009,012;24;25;;;;;;
Wake Up! (feat. Juice WRLD);11th Dimension;Ski Mask The Slump God;6/7/24;USUM72406359;2,707;2,886,460;470;4,717,544;;329,08;29,751;;;;;;;260,469;;;;;
Midnight Rain;Midnights;Taylor Swift;10/21/2022;USUG12205712;2,714;658,208,129;36,73;23,499,391;72;83,795,730;757,21;86,657;36,893,385;256,300,464;2,047,640;26;26;;;;;;
"Lagdi Lahore Di (From ""Street Dancer 3D"")";"Lagdi Lahore Di (From ""Street Dancer 3D"")";Guru Randhawa;1/15/2020;INS182000105;2,713;112,851,903;8,311;4,416,840;61;540,940,484;2,901,887;2,918,900;17,299,421;295,549,159;169,513,706;7;3;;;;;;
Boo'd Up;Ella Mai;Ella Mai;10/12/18;USUM71814738;2,726;79,783,827;9,749;2,909,695;53;606,083,529;3,884,982;;;;97,390,609;21;;;;;;;
A Mï¿;A Mï¿;Rels B;2/21/2019;QM4TW1987698;2,716;631,152,992;82,632;15,285,194;76;655,475,553;3,056,895;154,6;53,883,893;353,157,722;;16;10;;;;;;
Buttabomma - Telugu;"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single";Armaan Malik;12/24/2019;INA091916753;2,722;92,120,986;8,924;2,240,190;56;981,723,299;6,195,434;;16,396,111;219,466,261;;8;4;;;;;;
Burn It Down;Never Enough;Parker McCollum;5/12/23;USUM72223494;2,737;42,332,727;7,018;6,690,589;65;23,741,737;116,972;3,495;835,693;14,014,956;479,304,859;22;16;;;;;;
Tu Fan;tu fan;mafalda cardenal;5/26/2023;QZMZ92325070;2,735;65,670,361;8,193;4,692,658;66;96,035,934;736,076;608,5;55,379,246;493,111,688;37,699,119;2;;;;;;;
Whole Lotta Choppas;Whole Lotta Choppas;Sada Baby;8/14/2020;US39N2000446;2,731;55,312,275;16,559;2,391,593;45;39,808,873;574,179;5,063,590;297,105,838;2,188,871,458;61,82;19;;;;;;;
Heartless;808s & Heartbreak (Exclusive Edition);Kanye West;1/1/08;USUM70840511;2,738;1,315,577,954;261,77;60,550,990;79;366,241,783;2,719,377;164,714;32,605,436;250,337,316;105,077,315;96;10;54,924,850;;;;;
Galaxy Express;Galaxy Express - Single;D Gerrard;1/5/24;THW092305121;2,732;20,710,234;1,513;1,465,628;61;89,001,571;370,896;;;;736,027,111;7;;;;;;;
Skate;Skate;Bruno Mars;7/30/2021;USAT22104222;2,733;248,947,222;70,726;16,159,530;63;129,102,965;1,676,120;1,494;372,385;5,258,682;747,385,177;95;36;;;;;;
Mercy;Mercy;Shawn Mendes;8/18/2016;USUM71603531;2,727;1,351,515,181;114,379;33,997,882;74;602,907,962;5,996,722;154,068;27,390,411;169,125,285;17,674,579;14;23;903,94;;;;;
Dame Tu Cosita (feat. Cutty Ranks);Dame Tu Cosita;El Chombo;4/15/2018;FR6Q11800035;2,729;47,325,533;11,423;1,899,926;54;585,319,992;2,136,542;5,161,110;484,259,534;6,695,334,604;;3;;;;;;;
Enemy - from the series Arcane League of Legends;Enemy (from the series Arcane League of Legends);Imagine Dragons;10/27/2021;USUM72120989;2,728;313,209,345;57,092;6,389,142;65;;;33,762;17,669,829;145,431,218;;6;1;;;;;;
Dear John;End of the World;Wild Child;3/31/2023;QMB622200356;2,73;271,785;152;7,172;21;281,209,604;1,652,039;;;;483,188;;;;;;;;
Mount Everest;Mount Everest;Labrinth;6/21/2019;GBHMU1800032;2,734;612,159,812;128,472;33,056,872;72;218,832,200;3,089,060;911,853;458,425,066;3,490,816,416;3,238,676;32;14;;;;;;
Escï¿½ï¿½n;Escï¿½ï¿½n;ýýengo Flow;8/25/2023;QZ7R42353128;2,736;63,748,913;11,841;9,184,869;60;109,386,782;532,629;13,7;438,906;4,695,060;434,486,494;4;;420,845;;;;;
LAISSE MOI;LAISSE MOI;KeBlack;9/8/23;DGA092316630;2,743;76,805,130;12,362;2,698,463;;62,061,765;290,394;110,539;21,137,395;261,958,744;196,973,081;7;17;276,434;;;;;
This Is The Life;This Is The Life;LIZOT;10/13/2023;DEUM72311113;2,75;72,773,866;23,003;14,286,816;71;5,868,964;68,984;;;;;15;9;2,575,572;;;;;
Baianï¿;Baianï¿;Bakermat;7/26/2019;NLE801900440;2,739;402,771,910;128,641;26,735,486;73;131,360,082;1,357,948;386,586;71,432,760;1,028,129,238;251,574;76;;10,115,777;;;;;
Homicide (feat. Eminem);Homicide;Logic;5/3/19;USUM71908267;2,751;526,019,789;102,549;19,459,269;64;272,873,622;4,245,401;8,436;2,207,422;21,779,736;3,146,026;16;6;21,666,713;;;;;
More Than My Hometown;More Than My Hometown;Morgan Wallen;4/17/2020;QZ22S1800117;2,755;503,296,417;55,067;8,724,047;74;198,319,407;665,11;101,364;12,089,070;124,574,139;360,980,228;27;9;4,962,564;;;;;
Work Out;Work Out;J. Cole;7/4/11;USQX91100801;2,74;955,547,971;199,078;33,681,550;76;310,902,280;2,357,811;83,23;15,376,388;130,023,976;7,369,620;42;9;;;;;;
Soltera;ýýpico;Lunay;10/25/2019;USA2P1955945;2,744;170,646,969;5,488;1,084,442;47;990,507,015;5,312,366;;;;298,488,940;5;;;;;;;
Fall In Love Alone;Fall In Love Alone;Stacey Ryan;5/13/2022;USUG12202833;2,746;250,626,750;28,158;11,808,223;66;42,387,613;401,947;1,724,955;158,358,329;1,888,735,985;18,603,572;17;2;;;;;;
Huntinï¿½ï¿½ï¿½ W;Might Delete Later;J. Cole;4/5/24;USUG12402405;2,747;36,972,292;5,914;4,824,184;;7,753,794;139,155;;;;399,839;3;;;;;;;
Plain Jane;Plain Jane;A$AP Ferg;8/4/17;USRC11701803;2,752;733,772,721;146,447;26,777,778;65;251,008,598;3,281,866;1,638,742;86,025,556;707,393,379;4,519,334;104;15;;;;;;
ORANGE SODA;ORANGE SODA;Baby Keem;7/16/2019;QM6N21900076;2,745;676,690,653;183,862;33,470,385;73;69,181,584;992,247;62,163;26,055,931;203,414,980;70,684;34;2;;;;;;
Clap For 'Em (feat. Flo Milli & Sada Baby);Clap For 'Em (feat. Flo Milli & Sada Baby);YungManny;3/20/2021;USRC12003901;2,753;21,634,137;6,881;1,871,089;40;1,198,045;19,492;4,857,888;200,277,564;1,553,141,547;;10;;;;;;;
Righteous;Righteous;Juice WRLD;4/24/2020;USUG12000979;2,749;553,627,198;108,088;18,837,961;64;293,505,196;3,213,599;79,391;5,994,142;43,552,260;48,193,048;32;6;;;;;;
Tï¿½ï¿½ ;Odisea;Ozuna;8/25/2017;USXDR1700551;2,742;500,508,660;31,36;12,078,276;68;978,838,486;4,506,721;774,3;14,707,010;136,354,987;151,743,372;12;6;;;;;;
Casei Com a Putaria;Casei Com a Putaria;Mc Paiva ZS;7/1/22;BXKG22200702;2,748;255,564,797;31,242;9,239,751;63;264,486,017;1,523,924;46,722;23,505,507;183,685,728;173,994,448;;7;;;;;;
9mm;Memphis Cult Vol. 6;Memphis Cult;2/23/2023;UKEX32307199;2,754;157,826,873;34,124;27,264,746;4;33,874,675;706,576;564;43,56;587,731;;5;;5,331,366;;;;;
SOLO - Live;BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live);BLACKPINK;8/30/2019;KRA401900098;2,741;6,197,708;428;185,336;26;1,100,441,738;18,179,095;492;63,986;421,369;104,659,155;;;;;;;;
Envy Me;Envy Me;Calboy;9/13/2018;USHM91813257;2,759;492,873,992;86,6;11,849,689;58;319,720,084;2,660,740;844,804;132,042,330;1,010,801,789;7,334,207;23;9;;;;;;
DEJA VU;DEJA VU;Luan Santana;12/7/23;BR27R2300050;2,762;117,285,775;5,157;14,287,746;;74,303,022;525,485;;;;1,329,005,783;16;17;;;;;;
Gï¿½ï¿½r;Gï¿½ï¿½r Bak - Si;Fatih Bulut;3/8/24;TRBIY2400022;2,77;11,315,262;557;765,288;;53,172,804;172,426;;;;83,084,501;2;;;;;;;
vendetta!;vendetta!;MUPP;5/20/2022;QM4TX2285434;2,773;317,919,778;77,387;27,153,082;68;51,618,223;617,981;11,6;6,821,906;60,936,894;28,998,158;17;;;;;;;
Tï¿½ï¿½ OK (Re;Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch;DENNIS;8/3/23;BRSME2301107;2,775;112,629,182;13,995;21,476,863;68;45,525,215;604,58;367,3;37,624,994;569,736,479;21,091,552;16;29;;;;;;
I'll Be Waiting;I'll Be Waiting;Cian Ducrot;11/10/22;GBUM72205880;2,756;185,042,019;41,058;8,054,809;62;35,977,202;482,49;923;7,073,614;68,670,799;143,011,080;35;2;1,809,877;;;;;
Admirin' You (feat. Preston Pablo);Admirin' You (feat. Preston Pablo);Karan Aujla;8/1/23;CAW112300241;2,76;97,989,585;11,146;3,310,108;63;102,363,097;1,045,313;;;;;16;19;2,727,014;;;;;
Untitled #13;Untitled #13;Glwzbll;4/4/23;RUA1D2328942;2,757;32,244,050;12,908;2,414,592;58;103,148,536;1,493,640;549,545;144,496,419;1,579,523,296;;1;;1,411,078;;;;;
El Belicï¿½;El Belicï¿½;Peso Pluma;2/4/22;QMFMF2141501;2,767;254,275,891;27,949;5,762,358;64;326,775,934;1,525,536;65,9;15,883,571;217,432,850;3,365,559;10;15;;;;;;
imgonnagetyouback;THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY;Taylor Swift;4/19/2024;USUG12402541;2,764;88,244,010;2,659;8,584,946;;7,381,186;96,742;5,844;1,925,300;14,644,000;;9;13;;;;;;
Roses (with Juice WRLD feat. Brendon Urie);Roses (with Juice WRLD feat. Brendon Urie);benny blanco;12/5/18;USUM71820961;2,772;475,881,575;74,084;11,532,863;57;40,942,190;516,795;11,387;3,941,871;41,147,911;1,118,318;24;;67,874,316;;;;;
BANZAI!;BANZAI!;Kazuo;12/24/2022;JPWP02202338;2,769;118,164;91;607;10;341,971,709;1,203,797;4;2,599;20,739;8,732;;;;;;;;
One Thing Right;One Thing Right (feat. Kane Brown);Marshmello;6/21/2019;US6XF1800275;2,763;545,011,148;69,335;15,972,797;65;312,775,703;3,080,420;134,588;17,058,045;170,167,441;261,719,017;75;28;;;;;;
Wildest Dreams;1989 (Deluxe);Taylor Swift;1/1/14;USCJY1431379;2,771;964,058,806;102,916;33,415,141;70;930,982,185;5,528,129;339,413;137,427,132;1,025,978,293;1,227,241,692;76;6;;;;;;
Calling For You (feat. 21 Savage);For All The Dogs;Drake;10/6/23;USUG12306068;2,758;74,265,576;23,221;3,122,350;;;;;;;;6;;3,639,035;;;;;
Like That;WE DON'T TRUST YOU;Future;3/20/2024;USSM12402255;2,774;352,623,365;932;622,889;;;;;;;;136;;;;;;;
What About Us;What About Us;P!nk;8/10/17;USRC11701586;2,765;788,403,596;79,26;39,889,584;70;508,358,793;3,107,893;38,617;22,964,606;215,488,504;97,454,332;117;34;;;;;;
On The Floor;VTM Kzoom Hits Best Of 2011;Jennifer Lopez;1/1/11;USUM71100721;2,768;456,241,170;89,265;34,214,641;69;2,333,347,395;9,971,513;341,638;171,375,947;1,446,146,402;1,770,256,542;70;24;;;;;;
Mentalitï¿;EP2;Baby Gang;6/17/2022;ITC6Q2200040;2,761;120,605,300;50,347;2,257,680;66;116,373,773;1,063,920;316,335;18,244,859;261,974,228;33,886,375;6;8;;;;;;
Taki Taki (with Selena Gomez; Ozuna & Cardi B);Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;9/28/2018;USUG11801723;26.7;1,569,891,590;133,3;51,381,606;66;384,590,913;3,935,031;592,538;46,194,014;530,240,861;103,487,881;44,351;;1;;;;
Captain Hook;Suga;Megan Thee Stallion;3/6/20;QMCE32000098;2,787;199,063,354;27,343;10,046,715;59;140,058,306;1,231,359;2,880,229;128,729,922;1,039,448,470;1,402,732;30;12;14,093,735;;;;;
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý;ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý;Djpaoremix;2/3/23;QZDA42300052;2,792;134,274;70;4,97;;6,873,380;41,796;2,100,000;20,188,963;379,926,509;;;;;;;;;
I'll Be There;I'll Be There;Robin Schulz;10/13/2023;DEA622302401;2,789;21,067,560;4,684;9,704,010;;8,446,909;70,328;;253,568;3,385,213;33,125,935;21;12;;;;;;
Heavy stunts (with Don Toliver);King tonka;Yeat;5/3/24;USUM72405093;2,777;11,680,886;2,796;4,428,363;;;;;;;;4;9;1,125,902;;;;;
Time Today;Time Today;Moneybagg Yo;2/3/21;USUM72101019;2,785;191,071,471;61,218;9,916,175;65;109,977,159;1,028,822;60,304;8,245,826;67,883,730;64,439,007;53;11;;;;;;
Hold Me While You Wait;Hold Me While You Wait;Lewis Capaldi;5/3/19;DEUM71900680;2,79;793,528,511;99,106;36,201,454;70;318,332,999;2,522,360;191,871;22,545,934;140,058,016;195;46;11;;;;;;
messy in heaven;messy in heaven;venbee;9/23/2022;GBARL2201891;2,779;120,785,398;45,503;9,878,550;59;25,495,861;202,181;24,429;3,729,330;64,940,140;330,803;34;26;6,455,224;;;;;
Maquillaje;Maquillaje - Single;Renn;1/10/24;QZZ662405291;2,776;71,320,813;6,751;23,980,309;76;42,538,475;287,894;;760,808;7,603,158;22,607,618;5;13;;;;;;
Shiver;Shiver;John Summit;2/14/2024;USUG12401003;2,788;30,048,265;7,304;26,556,055;;5,098,200;65,463;;;;50,446,943;26;55;1,276,726;;;;;
Novidade na ï¿½ï¿;Novidade na ï¿½ï¿;Mc Livinho;6/23/2023;BCDMP2300045;2,794;191,234,818;26,907;12,302,377;64;67,753,459;593,702;;;;95,148,914;14;6;;;;;;
Coming for You (feat. A1 x J1);Coming for You (feat. A1 x J1);SwitchOTR;10/29/2021;GBARL2101712;2,786;169,896,142;75,491;4,711,796;56;75,289,061;945,215;897,591;130,156,421;1,737,382,885;40,640,524;13;4;;;;;;
Toxic Pony;Toxic Pony (feat. Britney Spears & Ginuwine);ALTï¿½ï;1/21/2022;USRC12200203;2,783;103,232,015;33,577;15,250,725;60;9,695,261;155,015;2,254,200;271,083,554;2,866,098,547;;13;6;;;;;;
Grey;Grey - Single;Yung Filly;1/26/2024;GBAHT2400033;2,78;48,858,795;9,713;6,487,656;;14,953,162;318,976;;679,9;7,540,800;70,543,438;18;1;1,459,822;;;;;
Aquï¿½ï¿½ A;Aquï¿½ï¿½ A;Christian Nodal;7/10/20;MXUM72006101;2,791;423,313,161;33,148;12,012,992;66;597,262,135;2,506,019;18,138;2,257,511;35,488,227;19,729,407;17;21;;;;;;
Whistle;Pioneer The Album (Vol.13);Flo Rida;9/27/2010;USAT21201745;2,784;814,272,136;180,832;45,770,125;72;731,556,941;4,447,478;81,387;30,075,991;257,784,004;145,428,852;35;9;;;;;;
Ceux qu'on ï¿½ï¿½;Ceux qu'on ï¿½ï¿½tait - Si;Pierre Garnier;2/7/24;FRZ052400042;2,793;50,498,801;2,884;6,002,529;70;27,905,696;361,99;;;;91,399,340;30;13;;;;;;
Apaga El Cel;Apaga El Cel;Calle 24;12/22/2023;USDXS2304292;2,778;145,975,016;6,115;16,399,686;82;54,043,783;310,905;;;;1,098,765,819;4;8;;;;;;
ýýýýýýýýýýýýýýýýýý - ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý;ýýýýýýýýýýýýýýýýýý (ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý);Ahmed Saad;6/20/2023;FRX872398704;2,781;20,588,020;3,465;1,820,609;58;179,178,650;649,493;133,7;9,283,133;274,048,028;27,579,261;6;;;;;;;
Leave Me Alone;Leave Me Alone;Flipp Dinero;3/14/2018;QMKSC1800039;2,782;651,863,663;122,266;17,925,064;62;364,860,562;3,465,425;137,815;50,621,671;318,020,837;133,910,430;38;1;;;;;;
LATTE (feat. Maria Becerra);The Academy: Segunda Misiï¿½;The Academy: Segunda Misiï¿½;3/28/2024;USWL12400693;2,806;25,813,787;3,297;10,885,827;68;27,340,680;205,074;;;;10,030,985;1;1;;;;;;
Rolling in the Deep - Acapella;Rolling In The Deep;Adele;1/16/2011;GBBKS1000427;2,8;11,170,019;1,58;217,023;36;2,522,903,197;13,159,087;;;;2,055,207,182;;;;;;;;
In My Head;In My Head;Lil Tjay;4/1/22;USSM12202421;2,804;237,061,046;82,335;8,632,456;63;47,378,172;923,407;374;356,522;3,442,700;341,463,881;13;18;;;;;;
Plan A;Plan A;Paulo Londra;3/23/2022;USWL12200224;2,808;275,416,061;45,154;6,010,438;58;237,452,601;5,966,974;50,2;38,034,415;356,327,284;183,244,953;17;19;;;;;;
GoodSin;Avana - EP;Olivetheboy;4/21/2023;TCAGY2352982;2,802;9,513,971;1,47;136,347;;17,460,383;97,768;1,626,005;17,984,432;262,199,462;;5;;;;;;;
Thrift Shop (feat. Wanz);The Heist;Macklemore & Ryan Lewis;10/9/12;GMM881200022;2,795;1,226,381,432;8,351;1,645,328;46;1,905,103,664;13,003,790;;;;340,316,264;41;;;;;;;
River;River;Bishop Briggs;1/22/2016;TCACL1648391;2,805;547,304,707;93,449;17,009,946;68;566,895,107;8,058,632;2,927,089;432,649,655;4,144,883,692;56,048,945;48;14;;;;;;
Dil Diyan Gallan;Tiger Zinda Hai (Original);Atif Aslam;12/12/17;INY091700035;2,801;204,127,666;20,958;11,366,583;65;1,326,806,818;7,661,864;169,7;3,586,828;60,784,930;27,572,059;16;1;;;;;;
Little Bit of Love;Little Bit of Love;Tom Grennan;1/8/21;GBARL2001197;2,81;389,164,529;60,436;21,604,450;62;96,711,789;597,354;22,228;9,869,894;82,984,646;22,709,518;75;11;3,087,711;;;;;
I Knew You Were Trouble.;I Knew You Were Trouble.;Taylor Swift;1/1/12;USCJY1231039;2,809;839,642,356;110,606;35,486,997;72;545,463,966;4,002,306;762,018;5,417,399;48,882,930;150,833,941;62;19;836,565;;;;;
Fresh Out The Slammer;THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401034;2,811;105,424,914;2,473;7,785,632;;7,227,379;113,318;;348,7;2,500,000;;12;41;;;;;;
The Real Slim Shady;The Source Hip-Hop Hits Vol. 4;Eminem;1/1/00;USIR10000448;2,796;1,798,020,679;352,947;75,283,550;81;961,666,231;7,927,293;74,682;86,740,640;771,015,965;568,968,886;93;46;1,131,521;;;;;
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version;Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version];sped up nightcore;7/18/2022;USAT22210335;2,807;3,492,767;807;484,998;27;412,119,147;8,660,129;122;1,891,966;24,601,626;5,322,461,166;1;8;;;;;;
Save Me;Save Me;Jelly Roll;6/25/2020;USZHR2000088;2,799;143,528,699;26,295;1,211,007;65;395,691,039;3,870,422;115,695;13,408,126;184,322,890;442,453,830;2;;5,123,723;;;;;
ýýýýýý;ýýýýýý;SPRITE;4/29/2021;TH2DY2100061;2,803;9,126,545;2,349;139,34;41;440,738,171;3,204,368;1,821,332;96,385,707;1,185,912,241;27,961,594;7;;;;;;;
Best For Me;Best For Me;Joyner Lucas;3/18/2024;QM4TX2423210;2,798;18,852,560;3,014;3,041,643;;18,904,500;468,752;;120,7;1,200,000;1,283,674;10;28;;;;;;
Ni Me Debes Ni Te Debo;Colmillo De Leche;Carin Leon;5/19/2023;QZQMB2105022;2,797;168,963,270;9,329;6,528,413;52;138,646,834;561,807;83,98;6,759,488;90,780,465;7,517,627;7;2;276,309;;;;;
Ya No Vuelvas;Ya No Vuelvas;Luck Ra;8/9/22;CLPP22200035;2,816;28,739,240;4,519;1,778,008;51;378,611,518;826,925;43,939;2,316,894;26,531,589;4,172,329;;;;;;;;
Scared To Be Lonely;Dua Lipa (Complete Edition);Martin Garrix;1/1/15;NLM5S1600025;2,815;1,254,883,107;131,909;46,601,399;73;995,579,933;7,131,931;121,77;12,363,862;113,741,661;221,491,507;133;40;;;;;;
Un Aï¿½;Un Aï¿½;Sebastian Yatra;1/18/2019;USUM71821048;2,819;573,290,850;44,972;20,961,958;67;830,580,317;5,534,299;314,552;17,545,978;164,663,552;29,178,246;45;21;;;;;;
21;THE GOAT;Polo G;5/15/2020;USQX92002597;2,814;500,766,243;134,529;11,500,707;67;161,831,915;1,890,192;62,1;5,844,781;22,513,039;25,064,335;21;2;;;;;;
I Gotta Feeling;The E.N.D. (The Energy Never Dies);Black Eyed Peas;1/1/09;USUM70965169;2,817;1,423,655,688;306,62;108,479,481;76;190,741,649;1,734,831;498,488;96,154,828;680,999,560;;281;86;;;;;;
NOSTYLIST;NO STYLIST;Destroy Lonely;8/12/22;USLD91740130;2,818;100,973,437;55,772;4,769,511;63;14,289,584;264,058;153;72,100,628;552,255,188;;8;1;10,092,692;;;;;
Respect (2021 Remaster);The Genius of Aretha Franklin;Aretha Franklin;2/19/2021;USRH12000996;2,812;607,726,217;158;18,327;20;;;;;;;;;;;;;;
SO DONE;SO DONE;The Kid LAROI;10/23/2020;USSM12005922;2,82;428,787,524;95,178;8,705,363;62;63,666,862;1,060,419;39,225;15,383,747;116,127,311;26,679,235;69;7;17,250,455;;;;;
The Boat Beat;The Boat Beat;Ricky Desktop;5/12/20;QZES92025420;2,813;13,847,072;3,177;474,041;33;8,068,836;219,118;6,220,932;241,086,839;3,081,391,270;;;;;;;;;
No Es Justo;No Es Justo;J Balvin;5/11/18;USUM71804471;2,835;580,941,059;55,176;15,983,158;64;965,441,155;3,017,656;14,706;1,960,151;19,928,111;131,550,363;43;32;;;;;;
New Jeans;NewJeans 'Super Shy';NewJeans;7/7/23;USA2P2330067;2,84;253,890,110;22,593;5,131,270;73;32,342,210;1,238,077;93,504;33,300,089;242,425,753;52,890,440;7;14;1,675,417;;;;;
